[['Philapedia', 3.992303979497981], ['Washington D.C.', 2.2251878737397264], ['Washington D.C.', 2.703754348429766], ['Philapedia', 3.900215472550781], ['Seattle', 4.99003388996634], ['Seattle', 4.963410737537836], ['Seattle', 4.664828711626807], ['Washington D.C.', 2.9775830300549875], ['Seattle', 5.1520094519827495], ['Seattle', 4.737608046594454]]
[['Washington D.C.', 3.5329528530441805], ['New York City', 1.1530906322097374], ['Washington D.C.', 2.666421771048816], ['New York City', 1.2859199105217558], ['New York City', 0.40879871489389696], ['New York City', 1.2283483433364641], ['Washington D.C.', 3.110569611196367], ['New York City', 1.1366672479602653], ['Washington D.C.', 3.245577519631338], ['New York City', 1.029270641832314]]
[['Boston', 1.8138163696952752], ['Philapedia', 3.4653401447166434], ['Boston', 1.6046506176608761], ['Philapedia', 4.13189095594752], ['Boston', 1.8876096874078248], ['Philapedia', 4.288760280449581], ['Seattle', 5.036257145793988], ['Boston', 2.221640972382969], ['Boston', 2.4678054938387683], ['Boston', 2.049210932761457]]
[['Boston', 1.7479462273459938], ['Washington D.C.', 3.103257880320861], ['Boston', 1.2621127495552251], ['Philapedia', 4.068622271203896], ['Philapedia', 4.776624921674569], ['Washington D.C.', 2.660692557924312], ['Boston', 2.037635213423058], ['Philapedia', 4.018666454040051], ['Philapedia', 4.127867683127571], ['Seattle', 3.783676671632142]]
[['Seattle', 5.01051957370128], ['Seattle', 5.085799291328485], ['Boston', 2.2937641817161882], ['Seattle', 4.736536144040277], ['New York City', 1.1157911022242208], ['Washington D.C.', 3.2829056827274767], ['Boston', 2.5677092881799712], ['Seattle', 5.363524440955319], ['Washington D.C.', 2.988352869187151], ['Boston', 1.9152922515898163]]
[['Philapedia', 4.266595237184691], ['Philapedia', 3.6461223815750103], ['Boston', 2.5729183838796175], ['Seattle', 4.857565719617513], ['Philapedia', 3.7169690239819384], ['Philapedia', 3.6495377768983692], ['Philapedia', 3.9828791289253758], ['Seattle', 5.1774507002920895], ['Philapedia', 3.6009779007387404], ['Philapedia', 4.142686908555435]]
[['Philapedia', 4.259795575941562], ['Boston', 2.3038534453301347], ['Boston', 2.073676286461515], ['Boston', 2.2778133203754707], ['Philapedia', 4.345736586158784], ['Seattle', 4.795855555796665], ['Boston', 1.8994078551502305], ['Boston', 2.609433350111843], ['Washington D.C.', 2.879117015179569], ['Boston', 1.8076128683842667]]
[['Philapedia', 4.1215689044993535], ['Philapedia', 3.544631538123092], ['Boston', 2.111559203350797], ['Boston', 1.4561962579911563], ['Philapedia', 3.8581700535740437], ['New York City', 1.0603489141332743], ['Boston', 2.1841876471943524], ['Philapedia', 3.88597784963991], ['Philapedia', 3.712908324565613], ['Philapedia', 4.1808414158143945]]
[['Seattle', 4.785166126189447], ['Washington D.C.', 3.3983560630968763], ['Seattle', 5.02503762139046], ['Seattle', 4.778404699661383], ['Boston', 2.135024102347542], ['Seattle', 4.784000397295504], ['Seattle', 4.7272305530079235], ['Washington D.C.', 2.882409848162277], ['Seattle', 5.070514083025675], ['Seattle', 4.896362331392204]]
[['Seattle', 4.710357911159938], ['Boston', 2.4169025010333263], ['Seattle', 4.731241351922806], ['Seattle', 4.974100367491311], ['Seattle', 5.171669667186719], ['Boston', 2.060934112707698], ['Seattle', 5.2047018699141585], ['Washington D.C.', 2.8256861814412657], ['Seattle', 4.990611645319663], ['Seattle', 5.053185867945827]]
[['Boston', 1.7919943805478846], ['Philapedia', 4.088555502712946], ['Philapedia', 3.4666321081192795], ['New York City', 0.7884198532599821], ['Philapedia', 4.041265140803467], ['Philapedia', 3.873373743113486], ['New York City', 1.1566558962819944], ['Philapedia', 4.003832697370062], ['New York City', 1.2854943133512562], ['Philapedia', 4.204070354306043]]
[['Washington D.C.', 2.6376155378028576], ['Washington D.C.', 2.658020405324908], ['Boston', 2.0117265185115842], ['New York City', 1.058072652514618], ['Boston', 1.9546302491469416], ['Boston', 2.0028738051424964], ['Philapedia', 4.069791885144352], ['Washington D.C.', 3.2283804851056406], ['Washington D.C.', 3.124731369601811], ['New York City', 0.5251748795623339]]
[['Philapedia', 3.9168632145582545], ['Washington D.C.', 2.6176705250688284], ['Seattle', 5.658698310066333], ['Philapedia', 3.861948681083518], ['Boston', 2.1621544924769256], ['Boston', 1.4332263366078388], ['Washington D.C.', 2.78851579768935], ['Boston', 1.7008890008720536], ['Philapedia', 3.7702176774655913], ['Washington D.C.', 2.891435458839847]]
[['Boston', 1.8659814157103634], ['Philapedia', 4.317394174890532], ['Philapedia', 4.483177479017842], ['Boston', 2.459925651117324], ['Boston', 1.7620712949257258], ['Boston', 2.0497181900643566], ['Boston', 1.8251816250978936], ['Boston', 1.7174793041625263], ['Philapedia', 3.649366711838942], ['Washington D.C.', 3.574540317039827]]
[['Boston', 1.3312532201118685], ['Boston', 1.4714151543441143], ['Washington D.C.', 2.9975200949231233], ['Boston', 2.0067140285445033], ['Philapedia', 3.809416694700828], ['Washington D.C.', 2.5427895310401936], ['Philapedia', 3.983278948830108], ['Seattle', 4.569497648156975], ['Boston', 2.585593477496018], ['Seattle', 5.513352612481082]]
[['Seattle', 4.782207683212954], ['Washington D.C.', 3.6070872340125493], ['Washington D.C.', 2.7182946221127735], ['Washington D.C.', 3.121484216501472], ['Philapedia', 3.759739584717138], ['Washington D.C.', 3.197242141527072], ['Washington D.C.', 3.642655686145279], ['Washington D.C.', 2.724211925342082], ['Seattle', 4.986462522722405], ['Washington D.C.', 3.298774201484439]]
